date,home_team,away_team,close_home_ml,close_away_ml,open_home_ml,open_away_ml
2025-03-29,CWS,LAA,+107,-119,+105,-116
2025-04-07,DET,NYY,+105,-116,+113,-125
2025-04-11,LAD,CHC,-146,+132,-134,+121
2025-04-12,ARI,MIL,-106,-104,-119,+107
2025-04-17,MIA,ARI,-105,-106,+101,-111
2025-04-23,CLE,NYY,-107,-103,-110,-100
2025-04-25,STL,MIL,+113,-125,+122,-135
2025-04-30,NYM,ARI,-147,+133,-156,+141
2025-05-02,PIT,SD,+177,-197,+184,-206
2025-05-07,MIL,HOU,+113,-125,+126,-140
2025-05-07,ARI,NYM,+137,-152,+140,-155
2025-05-14,CIN,CWS,-140,+127,-144,+130
2025-05-20,STL,DET,-101,-109,+100,-111
2025-05-22,PIT,MIL,+166,-185,+174,-195
2025-05-23,ATL,SD,-164,+147,-165,+149
2025-06-10,HOU,CWS,-161,+145,-155,+140
2025-06-14,BAL,LAA,-106,-105,+101,-112
2025-06-17,ATH,HOU,+102,-113,+110,-121
2025-06-17,MIA,PHI,+133,-147,+123,-136
2025-06-23,CIN,NYY,+116,-128,+117,-129
2025-06-28,BOS,TOR,-111,+101,-112,+101
2025-06-28,LAA,WSH,-120,+108,-121,+109
2025-06-28,NYY,ATH,-239,+213,-206,+184
2025-07-01,TOR,NYY,-119,+108,-120,+109
2025-07-05,NYM,NYY,-111,+100,-131,+118
2025-07-06,LAD,HOU,-164,+148,-148,+133
2025-08-05,DET,MIN,-140,+126,-147,+132
2025-08-05,MIA,HOU,+104,-115,-101,-109
2025-08-08,SD,BOS,-117,+106,-124,+112
2025-08-09,BAL,ATH,-157,+142,-148,+134
2025-08-12,TEX,ARI,-144,+130,-139,+125
2025-08-12,MIL,PIT,-199,+178,-179,+161
2025-08-13,NYM,ATL,-130,+118,-128,+116
2025-08-13,TOR,CHC,-135,+122,-149,+134
2025-08-15,BOS,MIA,-105,-105,+101,-112
2025-08-31,BOS,PIT,-168,+151,-141,+128
2025-09-03,DET,NYM,-105,-106,-104,-107
2025-09-14,TOR,BAL,-158,+143,-168,+151
2025-09-20,BAL,NYY,+121,-134,+125,-138
2025-09-28,SF,COL,-196,+176,-226,+202
