player,position,team,proj_points
Brandon Aubrey,K,DAL,163
Chris Boswell,K,PIT,152
Cameron Dicker,K,LAC,150
Ka'imi Fairbairn,K,HOU,148
Jake Bates,K,DET,144
Chase McLaughlin,K,TB,142
Harrison Butker,K,KC,140
Daniel Carlson,K,LV,138
Tyler Bass,K,BUF,136
Wil Lutz,K,DEN,135
Jason Sanders,K,MIA,134
Jake Elliott,K,PHI,132
Evan McPherson,K,CIN,131
Matt Gay,K,WAS,130
Younghoe Koo,K,ATL,129
Will Reichard,K,MIN,128
Brandon McManus,K,GB,127
Cairo Santos,K,CHI,126
Jake Moody,K,SF,125
Nick Folk,K,TEN,124
Joshua Karty,K,LAR,122
Justin Tucker,K,BAL,121
Graham Gano,K,NYG,116
Dustin Hopkins,K,CLE,114
Broncos D/ST,DST,DEN,146
Eagles D/ST,DST,PHI,141
Vikings D/ST,DST,MIN,139
Texans D/ST,DST,HOU,131
Steelers D/ST,DST,PIT,129
Ravens D/ST,DST,BAL,126
Bills D/ST,DST,BUF,125
Chargers D/ST,DST,LAC,123
Packers D/ST,DST,GB,120
Lions D/ST,DST,DET,118
Chiefs D/ST,DST,KC,116
Seahawks D/ST,DST,SEA,114
Bears D/ST,DST,CHI,112
Cardinals D/ST,DST,ARI,110
49ers D/ST,DST,SF,109
Commanders D/ST,DST,WAS,107
Bengals D/ST,DST,CIN,105
Falcons D/ST,DST,ATL,104
Colts D/ST,DST,IND,103
Buccaneers D/ST,DST,TB,102
Saints D/ST,DST,NO,100
Cowboys D/ST,DST,DAL,99
Dolphins D/ST,DST,MIA,98
Jets D/ST,DST,NYJ,97
