player_id,player,position,team,age,proj_games,pass_yds,pass_td,pass_int,pass_2pt,rush_yds,rush_td,rush_2pt,rec,rec_yds,rec_td,rec_2pt,fumbles_lost,st_td,proj_points_override,source
00-0034796,Lamar Jackson,QB,BAL,28.0,16.6,3699.3,29.7,6.9,0.6,686.7,3.8,0.5,0.0,0.0,0.0,0.0,4.4,0.0,,history
00-0034857,Josh Allen,QB,BUF,29.0,16.0,3635.1,25.5,10.0,1.4,448.7,9.0,0.1,0.0,0.0,0.0,0.0,2.6,0.0,,history
00-0036442,Joe Burrow,QB,CIN,28.0,16.6,4115.9,31.7,9.7,0.6,219.9,2.2,0.1,0.0,0.0,0.0,0.0,3.7,0.0,,history
00-0039910,Jayden Daniels,QB,WAS,24.0,16.6,3321.1,22.2,9.2,1.5,595.5,4.4,0.6,0.1,0.1,0.0,0.0,1.3,0.0,,history
00-0036389,Jalen Hurts,QB,PHI,27.0,15.4,3152.7,19.3,8.5,0.3,499.1,10.1,0.2,0.0,0.0,0.0,0.0,4.0,0.0,,history
00-0034855,Baker Mayfield,QB,TB,30.0,16.6,3856.3,29.6,12.4,1.1,280.5,2.4,0.1,0.0,0.0,0.0,0.0,2.5,0.0,,history
00-0033106,Jared Goff,QB,DET,30.0,16.6,4087.5,29.1,10.9,1.2,117.3,1.3,0.1,0.5,3.2,0.4,0.0,2.0,0.0,,history
00-0039732,Bo Nix,QB,DEN,25.0,16.6,3490.7,24.8,11.0,0.4,353.3,3.4,0.1,0.6,1.2,0.6,0.0,1.3,0.0,,history
00-0035228,Kyler Murray,QB,ARI,28.0,16.6,3556.5,20.5,10.4,0.8,449.5,4.2,0.6,0.0,0.1,0.0,0.0,3.1,0.0,,history
00-0033873,Patrick Mahomes,QB,KC,29.0,16.0,3783.4,24.9,11.2,0.4,309.4,2.0,0.1,0.5,1.2,0.0,0.0,1.5,0.0,,history
00-0036355,Justin Herbert,QB,LAC,27.0,16.6,3695.4,22.3,6.8,1.9,276.3,2.4,0.1,0.4,1.4,0.0,0.0,2.2,0.0,,history
00-0030565,Geno Smith,QB,SEA,34.0,16.6,3857.1,21.3,12.0,0.7,255.6,2.0,0.1,0.2,-0.4,0.0,0.0,1.8,0.0,,history
00-0037834,Brock Purdy,QB,SF,25.0,15.4,3596.9,21.9,10.7,0.3,249.4,3.4,0.1,0.0,0.0,0.0,0.0,2.6,0.0,,history
00-0036264,Jordan Love,QB,GB,26.0,15.4,3328.2,23.6,10.1,2.0,173.3,2.2,0.1,0.0,0.0,0.0,0.0,1.6,0.0,,history
00-0034869,Sam Darnold,QB,MIN,28.0,16.6,3317.6,24.4,9.6,0.4,206.9,1.9,0.1,0.0,0.1,0.0,0.0,3.3,0.0,,history
00-0039918,Caleb Williams,QB,CHI,23.0,16.6,3250.5,19.2,7.5,2.0,372.8,1.2,0.1,0.1,0.1,0.0,0.0,3.9,0.0,,history
00-0039163,C.J. Stroud,QB,HOU,23.0,16.6,3556.2,20.2,9.6,0.3,223.6,1.6,0.3,0.3,0.0,0.0,0.0,3.5,0.0,,history
00-0026498,Matthew Stafford,QB,LA,37.0,16.0,3448.1,19.8,9.1,0.5,115.3,1.0,0.1,0.0,0.0,0.0,0.2,1.9,0.0,,history
00-0029604,Kirk Cousins,QB,ATL,37.0,14.7,3284.1,19.6,11.8,0.5,99.9,1.1,0.1,0.0,0.0,0.0,0.0,2.8,0.0,,history
00-0036212,Tua Tagovailoa,QB,MIA,27.0,12.8,3062.4,19.7,8.6,1.0,114.6,0.8,0.0,0.0,0.0,0.0,0.0,2.4,0.0,,history
00-0029263,Russell Wilson,QB,PIT,36.0,12.8,2687.2,17.9,7.1,0.7,219.0,2.3,0.0,0.1,0.1,0.0,0.0,3.4,0.0,,history
00-0039150,Bryce Young,QB,CAR,24.0,14.7,2636.7,15.0,9.0,0.5,241.8,3.4,0.3,0.0,0.0,0.0,0.0,3.0,0.0,,history
00-0039851,Drake Maye,QB,NE,23.0,14.0,2507.7,16.1,9.3,1.4,327.2,2.2,0.1,0.1,0.1,0.0,0.0,4.3,0.0,,history
